ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target
ID_00N7XT1,2010-07-06,2011-07-05,Female,71,2010-07-06,2,JEEP,Black,REXTON,Badagry,Benue,Car Classic,0
ID_01ZY7FF,2010-08-07,2011-08-06,Male,30,2010-08-07,1,Saloon,Grey,TOYOTA,Ikeja,Lagos,Car Classic,1
ID_022U6TV,2010-10-28,2011-10-27,Male,40,2010-10-28,2,Saloon,Black,Honda,Abuja Municipal,Abuja-Municipal,Car Classic,0
ID_02DJWEN,2010-01-23,2011-01-16,Male,41,2010-01-23,1,Saloon,Silver,TOYOTA,Yaba,Benue,Car Classic,0
ID_03U3I31,2010-09-06,2011-09-05,Male,39,2010-09-06,2,Saloon,Red,TOYOTA,Oshodi-Isolo,Oshodi-Isolo,Car Classic,0
ID_03V06TZ,2010-03-12,2011-03-11,Female,39,2010-03-12,1,Saloon,Black,Honda,Alimosho,Lagos,Car Classic,0
ID_046FQ5I,2010-04-25,2011-04-09,Male,47,2010-04-25,1,JEEP,Black,Ford,"Okpe, Delta State",Delta,Car Classic,0
ID_04JEN82,2010-03-08,2011-02-09,Male,41,2010-03-08,2,Saloon,Silver,TOYOTA,IbadanCentral,Benue,Car Plus,0
ID_04RDLQY,2010-07-08,2011-07-07,Male,42,2010-07-08,3,Truck,Green,Iveco,Abeokuta,Ogun,CVTP,0
ID_052YTIW,2010-06-06,2011-06-05,Male,42,2010-06-06,1,Saloon,Red,TOYOTA,Lekki,Lagos,Car Classic,1
ID_0577HW2,2010-04-26,2011-04-25,Female,30,2010-04-26,2,Saloon,Black,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0
ID_05R7YFI,2010-02-18,2011-02-17,Male,37,2010-02-18,1,JEEP,Ash,Lexus,Agege,Lagos,Car Classic,1
ID_063MQH3,2010-10-09,2011-04-08,Male,45,2010-10-09,1,Saloon,Blue,TOYOTA,Kosofe,Benue,Car Classic,1
ID_06HCAU1,2010-06-19,2011-04-14,Male,37,2010-06-19,1,Truck,White,DAF,OGUN,Ogun,CVTP,0
ID_06TZLPR,2010-11-06,2011-08-06,Male,52,2010-11-06,3,Saloon,Blue,TOYOTA,Apapa,Lagos,Car Classic,0
ID_088DOQ3,2010-01-07,2011-01-06,Female,50,2010-01-07,2,Saloon,Black,TOYOTA,Ikeja,Lagos,Car Classic,1
ID_094BCZS,2010-09-17,2011-09-16,Male,44,2010-09-17,1,Saloon,Black,Mercedes,Victoria Island,Lagos,Car Classic,0
